Year,Year,Week,Away Team,Away Team,Home Team
2016,2016,4,MIA,MIA,CIN
2016,2016,4,IND,IND,JAX
2016,2016,4,TEN,TEN,HOU
2016,2016,4,CLE,CLE,WAS
2016,2016,4,SEA,SEA,NYJ
2016,2016,4,BUF,BUF,NE
2016,2016,4,CAR,CAR,ATL
2016,2016,4,OAK,OAK,BAL
2016,2016,4,DET,DET,CHI
2016,2016,4,DEN,DEN,TB
2016,2016,4,LAR,LAR,ARI
2016,2016,4,NO,NO,LAC
2016,2016,4,DAL,DAL,SF
2016,2016,4,KC,KC,PIT
2016,2016,4,NYG,NYG,MIN
2016,2016,5,ARI,ARI,SF
2016,2016,5,NE,NE,CLE
2016,2016,5,PHI,PHI,DET
2016,2016,5,CHI,CHI,IND
2016,2016,5,TEN,TEN,MIA
2016,2016,5,WAS,WAS,BAL
2016,2016,5,HOU,HOU,MIN
2016,2016,5,NYJ,NYJ,PIT
2016,2016,5,ATL,ATL,DEN
2016,2016,5,CIN,CIN,DAL
2016,2016,5,BUF,BUF,LAR
2016,2016,5,LAC,LAC,OAK
2016,2016,5,NYG,NYG,GB
2016,2016,5,TB,TB,CAR
2016,2016,6,DEN,DEN,LAC
2016,2016,6,SF,SF,BUF
2016,2016,6,PHI,PHI,WAS
2016,2016,6,CLE,CLE,TEN
2016,2016,6,BAL,BAL,NYG
2016,2016,6,CAR,CAR,NO
2016,2016,6,JAX,JAX,CHI
2016,2016,6,LAR,LAR,DET
2016,2016,6,PIT,PIT,MIA
2016,2016,6,CIN,CIN,NE
2016,2016,6,KC,KC,OAK
2016,2016,6,ATL,ATL,SEA
2016,2016,6,DAL,DAL,GB
2016,2016,6,IND,IND,HOU
2016,2016,6,NYJ,NYJ,ARI
2016,2016,7,CHI,CHI,GB
2016,2016,7,NYG,NYG,LAR
2016,2016,7,NO,NO,KC
2016,2016,7,IND,IND,TEN
2016,2016,7,MIN,MIN,PHI
2016,2016,7,CLE,CLE,CIN
2016,2016,7,WAS,WAS,DET
2016,2016,7,OAK,OAK,JAX
2016,2016,7,BUF,BUF,MIA
2016,2016,7,BAL,BAL,NYJ
2016,2016,7,TB,TB,SF
2016,2016,7,LAC,LAC,ATL
2016,2016,7,NE,NE,PIT
2016,2016,7,SEA,SEA,ARI
2016,2016,7,HOU,HOU,DEN
2016,2016,8,JAX,JAX,TEN
2016,2016,8,WAS,WAS,CIN
2016,2016,8,KC,KC,IND
2016,2016,8,OAK,OAK,TB
2016,2016,8,SEA,SEA,NO
2016,2016,8,DET,DET,HOU
2016,2016,8,NYJ,NYJ,CLE
2016,2016,8,NE,NE,BUF
2016,2016,8,LAC,LAC,DEN
2016,2016,8,GB,GB,ATL
2016,2016,8,ARI,ARI,CAR
2016,2016,8,PHI,PHI,DAL
2016,2016,8,MIN,MIN,CHI
2016,2016,9,ATL,ATL,TB
2016,2016,9,DET,DET,MIN
2016,2016,9,PHI,PHI,NYG
2016,2016,9,NYJ,NYJ,MIA
2016,2016,9,JAX,JAX,KC
2016,2016,9,DAL,DAL,CLE
2016,2016,9,PIT,PIT,BAL
2016,2016,9,NO,NO,SF
2016,2016,9,CAR,CAR,LAR
2016,2016,9,IND,IND,GB
2016,2016,9,TEN,TEN,LAC
2016,2016,9,DEN,DEN,OAK
2016,2016,9,BUF,BUF,SEA
2016,2016,10,CLE,CLE,BAL
2016,2016,10,HOU,HOU,JAX
2016,2016,10,DEN,DEN,NO
2016,2016,10,LAR,LAR,NYJ
2016,2016,10,ATL,ATL,PHI
2016,2016,10,KC,KC,CAR
2016,2016,10,CHI,CHI,TB
2016,2016,10,MIN,MIN,WAS
2016,2016,10,GB,GB,TEN
2016,2016,10,MIA,MIA,LAC
2016,2016,10,SF,SF,ARI
2016,2016,10,DAL,DAL,PIT
2016,2016,10,SEA,SEA,NE
2016,2016,10,CIN,CIN,NYG
2016,2016,11,NO,NO,CAR
2016,2016,11,PIT,PIT,CLE
2016,2016,11,BAL,BAL,DAL
2016,2016,11,JAX,JAX,DET
2016,2016,11,TEN,TEN,IND
2016,2016,11,BUF,BUF,CIN
2016,2016,11,TB,TB,KC
2016,2016,11,CHI,CHI,NYG
2016,2016,11,ARI,ARI,MIN
2016,2016,11,MIA,MIA,LAR
2016,2016,11,NE,NE,SF
2016,2016,11,PHI,PHI,SEA
2016,2016,11,GB,GB,WAS
2016,2016,11,HOU,HOU,OAK
2016,2016,12,MIN,MIN,DET
2016,2016,12,WAS,WAS,DAL
2016,2016,12,PIT,PIT,IND
2016,2016,12,TEN,TEN,CHI
2016,2016,12,JAX,JAX,BUF
2016,2016,12,CIN,CIN,BAL
2016,2016,12,ARI,ARI,ATL
2016,2016,12,NYG,NYG,CLE
2016,2016,12,LAR,LAR,NO
2016,2016,12,SF,SF,MIA
2016,2016,12,LAC,LAC,HOU
2016,2016,12,SEA,SEA,TB
2016,2016,12,CAR,CAR,OAK
2016,2016,12,NE,NE,NYJ
2016,2016,12,KC,KC,DEN
2016,2016,12,GB,GB,PHI
2016,2016,13,DAL,DAL,MIN
2016,2016,13,KC,KC,ATL
2016,2016,13,DET,DET,NO
2016,2016,13,LAR,LAR,NE
2016,2016,13,DEN,DEN,JAX
2016,2016,13,HOU,HOU,GB
2016,2016,13,PHI,PHI,CIN
2016,2016,13,MIA,MIA,BAL
2016,2016,13,SF,SF,CHI
2016,2016,13,BUF,BUF,OAK
2016,2016,13,NYG,NYG,PIT
2016,2016,13,WAS,WAS,ARI
2016,2016,13,TB,TB,LAC
2016,2016,13,CAR,CAR,SEA
2016,2016,13,IND,IND,NYJ
2016,2016,14,OAK,OAK,KC
2016,2016,14,PIT,PIT,BUF
2016,2016,14,DEN,DEN,TEN
2016,2016,14,NO,NO,TB
2016,2016,14,WAS,WAS,PHI
2016,2016,14,ARI,ARI,MIA
2016,2016,14,LAC,LAC,CAR
2016,2016,14,CIN,CIN,CLE
2016,2016,14,CHI,CHI,DET
2016,2016,14,HOU,HOU,IND
2016,2016,14,MIN,MIN,JAX
2016,2016,14,NYJ,NYJ,SF
2016,2016,14,ATL,ATL,LAR
2016,2016,14,SEA,SEA,GB
2016,2016,14,DAL,DAL,NYG
2016,2016,14,BAL,BAL,NE
2016,2016,15,LAR,LAR,SEA
2016,2016,15,MIA,MIA,NYJ
2016,2016,15,GB,GB,CHI
2016,2016,15,JAX,JAX,HOU
