Year,Year,Week,Home Team,Home Team
2017,2017,5,MIA,MIA
2017,2017,5,CIN,CIN
2017,2017,5,NYG,NYG
2017,2017,5,PIT,PIT
2017,2017,5,PHI,PHI
2017,2017,5,LAR,LAR
2017,2017,5,OAK,OAK
2017,2017,5,DAL,DAL
2017,2017,5,HOU,HOU
2017,2017,5,CHI,CHI
2017,2017,6,CAR,CAR
2017,2017,6,BAL,BAL
2017,2017,6,HOU,HOU
2017,2017,6,MIN,MIN
2017,2017,6,NO,NO
2017,2017,6,ATL,ATL
2017,2017,6,NYJ,NYJ
2017,2017,6,WAS,WAS
2017,2017,6,ARI,ARI
2017,2017,6,JAX,JAX
2017,2017,6,KC,KC
2017,2017,6,OAK,OAK
2017,2017,6,DEN,DEN
2017,2017,6,TEN,TEN
2017,2017,7,OAK,OAK
2017,2017,7,BUF,BUF
2017,2017,7,PIT,PIT
2017,2017,7,MIN,MIN
2017,2017,7,MIA,MIA
2017,2017,7,LAR,LAR
2017,2017,7,CHI,CHI
2017,2017,7,CLE,CLE
2017,2017,7,GB,GB
2017,2017,7,IND,IND
2017,2017,7,SF,SF
2017,2017,7,NYG,NYG
2017,2017,7,LAC,LAC
2017,2017,7,NE,NE
2017,2017,7,PHI,PHI
2017,2017,8,BAL,BAL
2017,2017,8,CLE,CLE
2017,2017,8,NYJ,NYJ
2017,2017,8,TB,TB
2017,2017,8,PHI,PHI
2017,2017,8,NO,NO
2017,2017,8,NE,NE
2017,2017,8,BUF,BUF
2017,2017,8,CIN,CIN
2017,2017,8,SEA,SEA
2017,2017,8,WAS,WAS
2017,2017,8,DET,DET
2017,2017,8,KC,KC
2017,2017,9,NYJ,NYJ
2017,2017,9,HOU,HOU
2017,2017,9,JAX,JAX
2017,2017,9,NO,NO
2017,2017,9,NYG,NYG
2017,2017,9,CAR,CAR
2017,2017,9,PHI,PHI
2017,2017,9,TEN,TEN
2017,2017,9,SF,SF
2017,2017,9,SEA,SEA
2017,2017,9,DAL,DAL
2017,2017,9,MIA,MIA
2017,2017,9,GB,GB
