10/21/18,CHI,NE,38,31,2018
10/29/18,BUF,NE,25,6,2018
11/25/18,NYJ,NE,27,13,2018
12/02/18,NE,MIN,24,10,2018
12/16/18,PIT,NE,10,17,2018
12/23/18,NE,BUF,24,12,2018
10/14/18,NE,KC,43,40,2018
09/09/18,NO,TB,40,48,2018
09/23/18,ATL,NO,43,37,2018
09/30/18,NYG,NO,33,18,2018
10/08/18,NO,WAS,43,19,2018
10/21/18,BAL,NO,24,23,2018
10/28/18,MIN,NO,30,20,2018
11/04/18,NO,LA,45,35,2018
11/11/18,CIN,NO,51,14,2018
11/18/18,NO,PHI,48,7,2018
11/22/18,NO,ATL,31,17,2018
11/29/18,DAL,NO,10,13,2018
12/09/18,TB,NO,28,14,2018
12/17/18,CAR,NO,12,9,2018
12/23/18,NO,PIT,31,28,2018
12/30/18,NO,CAR,14,33,2018
09/09/18,NYG,JAX,15,20,2018
09/16/18,DAL,NYG,13,20,2018
10/07/18,CAR,NYG,31,33,2018
10/11/18,NYG,PHI,13,34,2018
10/22/18,ATL,NYG,20,23,2018
09/16/18,NO,CLE,21,18,2018
10/28/18,NYG,WAS,13,20,2018
11/12/18,SF,NYG,27,23,2018
11/18/18,NYG,TB,38,35,2018
11/25/18,PHI,NYG,22,25,2018
12/02/18,NYG,CHI,30,27,2018
12/09/18,WAS,NYG,40,16,2018
12/16/18,NYG,TEN,0,17,2018
12/23/18,IND,NYG,27,28,2018
12/30/18,NYG,DAL,35,36,2018
10/21/18,NYJ,MIN,17,37,2018
12/30/18,NE,NYJ,3,38,2018
11/25/18,NYJ,NE,13,27,2018
12/02/18,TEN,NYJ,22,26,2018
09/09/18,MIA,TEN,20,27,2018
09/16/18,TEN,HOU,20,17,2018
09/23/18,JAX,TEN,9,6,2018
09/06/18,PHI,ATL,18,12,2018
09/16/18,TB,PHI,21,27,2018
09/23/18,PHI,IND,20,16,2018
09/30/18,TEN,PHI,23,26,2018
10/07/18,PHI,MIN,21,23,2018
10/11/18,NYG,PHI,34,13,2018
10/21/18,PHI,CAR,17,21,2018
10/28/18,JAX,PHI,24,18,2018
11/11/18,PHI,DAL,20,27,2018
12/02/18,PIT,LAC,30,33,2018
09/24/18,TB,PIT,30,27,2018
09/30/18,PIT,BAL,14,26,2018
10/14/18,CIN,PIT,28,21,2018
10/28/18,PIT,CLE,33,18,2018
11/08/18,PIT,CAR,52,21,2018
11/18/18,JAX,PIT,20,16,2018
11/25/18,DEN,PIT,17,24,2018
12/09/18,OAK,PIT,21,24,2018
12/16/18,PIT,NE,17,10,2018
12/23/18,NO,PIT,28,31,2018
09/16/18,PIT,KC,37,42,2018
10/07/18,PIT,ATL,41,17,2018
11/04/18,BAL,PIT,23,16,2018
09/09/18,MIN,SF,16,24,2018
09/16/18,SF,DET,30,27,2018
09/23/18,KC,SF,27,38,2018
09/30/18,LAC,SF,27,29,2018
10/15/18,GB,SF,30,33,2018
10/21/18,SF,LA,10,39,2018
10/28/18,ARI,SF,15,18,2018
11/01/18,SF,OAK,34,3,2018
11/12/18,SF,NYG,23,27,2018
11/25/18,TB,SF,9,27,2018
12/02/18,SEA,SF,16,43,2018
12/09/18,SF,DEN,20,14,2018
12/16/18,SF,SEA,26,23,2018
12/23/18,SF,CHI,9,14,2018
12/30/18,LA,SF,32,48,2018
11/18/18,NYG,TB,35,38,2018
08/25/18,BC,SSK,24,21,2018
10/20/18,CGY,SSK,29,24,2018
10/27/18,SSK,BC,35,16,2018
11/15/18,SEA,GB,27,24,2018
11/25/18,CAR,SEA,30,27,2018
12/16/18,SF,SEA,23,26,2018
10/28/18,DET,SEA,28,14,2018
11/04/18,SEA,LAC,17,25,2018
12/23/18,SEA,KC,38,31,2018
11/25/18,TB,SF,27,9,2018
12/09/18,TB,NO,14,28,2018
12/16/18,BAL,TB,12,20,2018
12/23/18,DAL,TB,20,27,2018
12/30/18,TB,ATL,32,34,2018
12/02/18,TB,CAR,24,17,2018
09/16/18,LA,ARI,34,0,2018
10/07/18,SEA,LA,33,31,2018
10/14/18,DEN,LA,23,20,2018
10/14/18,TEN,BAL,0,21,2018
11/11/18,TEN,NE,34,10,2018
12/16/18,NYG,TEN,17,0,2018
10/21/18,LAC,TEN,19,20,2018
11/05/18,DAL,TEN,28,14,2018
